	Chr	Pos	PhyloP	Strand	EnsemblID	isSub
0	chr7	1022834	-0.144	+	ENSG00000073067	False
1	chr7	1022835	-1.416	+	ENSG00000073067	False
2	chr7	1022836	-1.656	+	ENSG00000073067	False
3	chr7	1022837	0.064	+	ENSG00000073067	False
4	chr7	1022838	-0.588	+	ENSG00000073067	False
5	chr7	1022839	-0.692	+	ENSG00000073067	False
6	chr7	1022840	-1.266	+	ENSG00000073067	False
7	chr7	1022841	0.009	+	ENSG00000073067	False
8	chr7	1022842	0.025	+	ENSG00000073067	False
9	chr7	1022843	-0.101	+	ENSG00000073067	False
10	chr7	1022844	-0.233	+	ENSG00000073067	False
11	chr7	1022845	-1.175	+	ENSG00000073067	False
12	chr7	1022846	-0.498	+	ENSG00000073067	False
13	chr7	1022847	0.196	+	ENSG00000073067	False
14	chr7	1022848	-0.012	+	ENSG00000073067	False
15	chr7	1022849	0.629	+	ENSG00000073067	False
16	chr7	1022850	0.66	+	ENSG00000073067	False
17	chr7	1022851	-0.489	+	ENSG00000073067	False
18	chr7	1022852	0.039	+	ENSG00000073067	False
19	chr7	1022853	1.396	+	ENSG00000073067	False
20	chr7	1022854	-0.11	+	ENSG00000073067	False
21	chr7	1022855	0.276	+	ENSG00000073067	False
22	chr7	1022856	0.252	+	ENSG00000073067	False
23	chr7	1022857	1.82	+	ENSG00000073067	False
24	chr7	1022858	0.925	+	ENSG00000073067	False
25	chr7	1022859	-0.64	+	ENSG00000073067	False
26	chr7	1022860	1.262	+	ENSG00000073067	False
27	chr7	1022861	-0.154	+	ENSG00000073067	False
28	chr7	1022862	-0.745	+	ENSG00000073067	False
29	chr7	1022863	2.131	+	ENSG00000073067	False
30	chr7	1022864	1.22	+	ENSG00000073067	False
31	chr7	1022865	1.142	+	ENSG00000073067	False
32	chr7	1022866	0.276	+	ENSG00000073067	False
33	chr7	1022867	0.573	+	ENSG00000073067	False
34	chr7	1022868	-0.251	+	ENSG00000073067	False
35	chr7	1022869	2.893	+	ENSG00000073067	False
36	chr7	1022870	-0.3	+	ENSG00000073067	False
37	chr7	1022871	0.17	+	ENSG00000073067	False
38	chr7	1022872	1.255	+	ENSG00000073067	False
39	chr7	1022873	1.506	+	ENSG00000073067	False
40	chr7	1022874	0.307	+	ENSG00000073067	False
41	chr7	1022875	0.013	+	ENSG00000073067	False
42	chr7	1022876	0.762	+	ENSG00000073067	False
43	chr7	1022877	0.45	+	ENSG00000073067	False
44	chr7	1022878	1.173	+	ENSG00000073067	False
45	chr7	1022879	-0.306	+	ENSG00000073067	False
46	chr7	1022880	0.987	+	ENSG00000073067	False
47	chr7	1022881	1.581	+	ENSG00000073067	False
48	chr7	1022882	5.422	+	ENSG00000073067	False
49	chr7	1022883	3.289	+	ENSG00000073067	False
50	chr7	1022884	0.554	+	ENSG00000073067	False
51	chr7	1022885	0.062	+	ENSG00000073067	False
52	chr7	1022886	1.524	+	ENSG00000073067	False
53	chr7	1022887	0.292	+	ENSG00000073067	False
54	chr7	1022888	0.296	+	ENSG00000073067	False
55	chr7	1022889	0.344	+	ENSG00000073067	False
56	chr7	1022890	1.459	+	ENSG00000073067	False
57	chr7	1022891	1.474	+	ENSG00000073067	False
58	chr7	1022892	0.128	+	ENSG00000073067	False
59	chr7	1022893	0.066	+	ENSG00000073067	False
60	chr7	1022894	0.437	+	ENSG00000073067	False
