	Chr	Pos	PhyloP	Strand	EnsemblID	isSub
0	chr6	24667262	-0.293	+	ENSG00000112304	False
1	chr6	24667263	0.621	+	ENSG00000112304	False
2	chr6	24667264	-0.861	+	ENSG00000112304	False
3	chr6	24667265	-5.306	+	ENSG00000112304	False
4	chr6	24667266	1.973	+	ENSG00000112304	False
5	chr6	24667267	0.747	+	ENSG00000112304	False
6	chr6	24667268	1.429	+	ENSG00000112304	False
7	chr6	24667269	1.549	+	ENSG00000112304	False
8	chr6	24667270	-1.358	+	ENSG00000112304	False
9	chr6	24667271	0.498	+	ENSG00000112304	False
10	chr6	24667272	0.162	+	ENSG00000112304	False
11	chr6	24667273	1.492	+	ENSG00000112304	False
12	chr6	24667274	1.269	+	ENSG00000112304	False
13	chr6	24667275	0.112	+	ENSG00000112304	False
14	chr6	24667276	-0.293	+	ENSG00000112304	False
15	chr6	24667277	-0.225	+	ENSG00000112304	False
16	chr6	24667278	-0.772	+	ENSG00000112304	False
17	chr6	24667279	-1.345	+	ENSG00000112304	False
18	chr6	24667280	-1.023	+	ENSG00000112304	False
19	chr6	24667281	0.8	+	ENSG00000112304	False
20	chr6	24667282	-0.026	+	ENSG00000112304	False
21	chr6	24667283	-0.094	+	ENSG00000112304	False
22	chr6	24667284	-0.608	+	ENSG00000112304	False
23	chr6	24667285	-0.222	+	ENSG00000112304	False
24	chr6	24667286	-1.296	+	ENSG00000112304	False
25	chr6	24667287	-0.671	+	ENSG00000112304	False
26	chr6	24667288	-1.782	+	ENSG00000112304	False
27	chr6	24667289	-2.314	+	ENSG00000112304	False
28	chr6	24667290	0.431	+	ENSG00000112304	False
29	chr6	24667291	-0.974	+	ENSG00000112304	False
30	chr6	24667292	0.508	+	ENSG00000112304	False
31	chr6	24667293	-2.305	+	ENSG00000112304	False
32	chr6	24667294	-0.111	+	ENSG00000112304	False
33	chr6	24667295	-2.048	+	ENSG00000112304	False
34	chr6	24667296	-0.023	+	ENSG00000112304	False
35	chr6	24667297	-1.73	+	ENSG00000112304	False
36	chr6	24667298	-0.882	+	ENSG00000112304	False
37	chr6	24667299	0.075	+	ENSG00000112304	False
38	chr6	24667300	0.057	+	ENSG00000112304	False
39	chr6	24667301	-0.294	+	ENSG00000112304	False
40	chr6	24667302	0.963	+	ENSG00000112304	False
41	chr6	24667303	-0.085	+	ENSG00000112304	False
42	chr6	24667304	-0.944	+	ENSG00000112304	False
43	chr6	24667305	0.443	+	ENSG00000112304	False
44	chr6	24667306	-0.963	+	ENSG00000112304	False
45	chr6	24667307	0.454	+	ENSG00000112304	False
46	chr6	24667308	-0.102	+	ENSG00000112304	False
47	chr6	24667309	0.056	+	ENSG00000112304	False
48	chr6	24667310	0.466	+	ENSG00000112304	False
49	chr6	24667311	-2.677	+	ENSG00000112304	False
50	chr6	24667312	-1.549	+	ENSG00000112304	False
51	chr6	24667313	0.134	+	ENSG00000112304	False
52	chr6	24667314	-0.244	+	ENSG00000112304	False
53	chr6	24667315	-3.707	+	ENSG00000112304	False
54	chr6	24667316	-1.248	+	ENSG00000112304	False
55	chr6	24667317	-0.048	+	ENSG00000112304	False
56	chr6	24667318	-4.507	+	ENSG00000112304	False
57	chr6	24667319	-0.463	+	ENSG00000112304	False
58	chr6	24667320	-0.489	+	ENSG00000112304	False
59	chr6	24667321	-0.564	+	ENSG00000112304	False
60	chr6	24667322	-2.042	+	ENSG00000112304	False
61	chr6	24667323	-1.112	+	ENSG00000112304	False
62	chr6	24667324	0.421	+	ENSG00000112304	False
63	chr6	24667325	-2.634	+	ENSG00000112304	False
64	chr6	24667326	0.504	+	ENSG00000112304	False
65	chr6	24667327	-1.523	+	ENSG00000112304	False
66	chr6	24667328	1.204	+	ENSG00000112304	False
67	chr6	24667329	0.728	+	ENSG00000112304	False
68	chr6	24667330	-0.336	+	ENSG00000112304	False
69	chr6	24667331	-3.946	+	ENSG00000112304	False
70	chr6	24667332	0.232	+	ENSG00000112304	False
71	chr6	24667333	-0.138	+	ENSG00000112304	False
72	chr6	24667334	-1.309	+	ENSG00000112304	False
73	chr6	24667335	-0.802	+	ENSG00000112304	False
74	chr6	24667336	0.851	+	ENSG00000112304	False
75	chr6	24667337	-3.61	+	ENSG00000112304	False
76	chr6	24667338	-0.357	+	ENSG00000112304	False
77	chr6	24667339	-0.091	+	ENSG00000112304	False
78	chr6	24667340	-1.347	+	ENSG00000112304	False
79	chr6	24667341	-0.357	+	ENSG00000112304	False
80	chr6	24667342	-1.999	+	ENSG00000112304	False
81	chr6	24667343	-1.66	+	ENSG00000112304	False
82	chr6	24667344	0.092	+	ENSG00000112304	False
83	chr6	24667345	-0.522	+	ENSG00000112304	False
84	chr6	24667346	-1.902	+	ENSG00000112304	False
85	chr6	24667347	-0.939	+	ENSG00000112304	False
86	chr6	24667348	-1.045	+	ENSG00000112304	False
87	chr6	24667349	0.143	+	ENSG00000112304	False
88	chr6	24667350	-2.891	+	ENSG00000112304	False
89	chr6	24667351	-0.385	+	ENSG00000112304	False
90	chr6	24667352	-0.675	+	ENSG00000112304	False
91	chr6	24667353	-1.06	+	ENSG00000112304	False
92	chr6	24667354	-3.488	+	ENSG00000112304	False
93	chr6	24667355	-1.368	+	ENSG00000112304	False
94	chr6	24667356	-2.461	+	ENSG00000112304	False
95	chr6	24667357	-0.09	+	ENSG00000112304	False
96	chr6	24667358	-0.321	+	ENSG00000112304	False
97	chr6	24667359	-0.285	+	ENSG00000112304	False
98	chr6	24667360	-0.465	+	ENSG00000112304	False
99	chr6	24667361	0.093	+	ENSG00000112304	False
100	chr6	24667362	0.13	+	ENSG00000112304	False
101	chr6	24667363	-0.994	+	ENSG00000112304	False
102	chr6	24667364	-0.474	+	ENSG00000112304	False
103	chr6	24667365	-2.585	+	ENSG00000112304	False
104	chr6	24667366	-0.973	+	ENSG00000112304	False
105	chr6	24667367	-1.375	+	ENSG00000112304	False
106	chr6	24667368	0.144	+	ENSG00000112304	False
107	chr6	24667369	-1.009	+	ENSG00000112304	False
108	chr6	24667370	-0.527	+	ENSG00000112304	False
109	chr6	24667371	-0.223	+	ENSG00000112304	False
110	chr6	24667372	0.021	+	ENSG00000112304	False
111	chr6	24667373	-1.208	+	ENSG00000112304	False
112	chr6	24667374	0.679	+	ENSG00000112304	False
113	chr6	24667375	-3.717	+	ENSG00000112304	False
114	chr6	24667376	0.609	+	ENSG00000112304	False
115	chr6	24667377	-0.376	+	ENSG00000112304	False
116	chr6	24667378	-0.408	+	ENSG00000112304	False
117	chr6	24667379	-0.501	+	ENSG00000112304	False
118	chr6	24667380	-1.298	+	ENSG00000112304	False
119	chr6	24667381	-1.602	+	ENSG00000112304	False
120	chr6	24667382	-1.065	+	ENSG00000112304	False
121	chr6	24667383	-0.485	+	ENSG00000112304	False
122	chr6	24667384	-0.542	+	ENSG00000112304	False
123	chr6	24667385	-2.278	+	ENSG00000112304	False
124	chr6	24667386	-1.546	+	ENSG00000112304	False
125	chr6	24667387	-3.692	+	ENSG00000112304	False
126	chr6	24667388	-1.961	+	ENSG00000112304	False
127	chr6	24667389	-0.697	+	ENSG00000112304	False
128	chr6	24667390	-2.545	+	ENSG00000112304	False
129	chr6	24667391	-0.253	+	ENSG00000112304	False
130	chr6	24667392	0.195	+	ENSG00000112304	False
131	chr6	24667393	-0.946	+	ENSG00000112304	False
132	chr6	24667394	0.219	+	ENSG00000112304	False
133	chr6	24667395	0.087	+	ENSG00000112304	False
134	chr6	24667396	-0.292	+	ENSG00000112304	False
135	chr6	24667397	-0.723	+	ENSG00000112304	False
136	chr6	24667398	-0.295	+	ENSG00000112304	False
137	chr6	24667399	-1.716	+	ENSG00000112304	False
138	chr6	24667400	-3.86	+	ENSG00000112304	False
139	chr6	24667401	-1.425	+	ENSG00000112304	False
140	chr6	24667402	-1.96	+	ENSG00000112304	False
141	chr6	24667403	0.974	+	ENSG00000112304	False
142	chr6	24667404	0.055	+	ENSG00000112304	False
143	chr6	24667405	0.055	+	ENSG00000112304	False
144	chr6	24667406	0.055	+	ENSG00000112304	False
145	chr6	24667407	-0.412	+	ENSG00000112304	False
146	chr6	24667408	-0.523	+	ENSG00000112304	False
147	chr6	24667409	0.88	+	ENSG00000112304	False
148	chr6	24667410	1.593	+	ENSG00000112304	False
149	chr6	24667411	0.172	+	ENSG00000112304	False
150	chr6	24667412	0.449	+	ENSG00000112304	False
151	chr6	24667413	-0.732	+	ENSG00000112304	False
152	chr6	24667414	-1.566	+	ENSG00000112304	False
153	chr6	24667415	-0.987	+	ENSG00000112304	False
154	chr6	24667416	-1.763	+	ENSG00000112304	False
155	chr6	24667417	-0.031	+	ENSG00000112304	False
156	chr6	24667418	-0.05	+	ENSG00000112304	False
157	chr6	24667419	-1.852	+	ENSG00000112304	False
158	chr6	24667420	-0.706	+	ENSG00000112304	False
159	chr6	24667421	-0.36	+	ENSG00000112304	False
160	chr6	24667422	-0.84	+	ENSG00000112304	False
161	chr6	24667423	-1.14	+	ENSG00000112304	False
162	chr6	24667424	-0.408	+	ENSG00000112304	False
163	chr6	24667425	-0.178	+	ENSG00000112304	False
164	chr6	24667426	-2.504	+	ENSG00000112304	False
165	chr6	24667427	2.516	+	ENSG00000112304	False
166	chr6	24667428	0.474	+	ENSG00000112304	False
167	chr6	24667429	-0.34	+	ENSG00000112304	False
168	chr6	24667430	-1.574	+	ENSG00000112304	False
169	chr6	24667431	-0.359	+	ENSG00000112304	False
170	chr6	24667432	-0.326	+	ENSG00000112304	False
171	chr6	24667433	-0.178	+	ENSG00000112304	False
172	chr6	24667434	-0.148	+	ENSG00000112304	False
173	chr6	24667435	-0.88	+	ENSG00000112304	False
174	chr6	24667436	-0.467	+	ENSG00000112304	False
175	chr6	24667437	-0.66	+	ENSG00000112304	False
176	chr6	24667438	-0.169	+	ENSG00000112304	False
177	chr6	24667439	-0.345	+	ENSG00000112304	False
178	chr6	24667440	-0.41	+	ENSG00000112304	False
179	chr6	24667441	-1.045	+	ENSG00000112304	False
180	chr6	24667442	-0.272	+	ENSG00000112304	False
181	chr6	24667443	0.451	+	ENSG00000112304	False
182	chr6	24667444	-1.11	+	ENSG00000112304	False
183	chr6	24667445	-1.988	+	ENSG00000112304	False
184	chr6	24667446	-0.232	+	ENSG00000112304	False
185	chr6	24667447	0.121	+	ENSG00000112304	False
186	chr6	24667448	0.486	+	ENSG00000112304	False
187	chr6	24667449	-0.246	+	ENSG00000112304	False
188	chr6	24667450	0.152	+	ENSG00000112304	False
189	chr6	24667451	-0.049	+	ENSG00000112304	False
190	chr6	24667452	-1.108	+	ENSG00000112304	False
191	chr6	24667453	-0.233	+	ENSG00000112304	False
192	chr6	24667454	0.393	+	ENSG00000112304	False
193	chr6	24667455	-0.765	+	ENSG00000112304	False
194	chr6	24667456	-0.924	+	ENSG00000112304	False
195	chr6	24667457	-0.054	+	ENSG00000112304	False
196	chr6	24667458	0.445	+	ENSG00000112304	False
197	chr6	24667459	-1.344	+	ENSG00000112304	False
198	chr6	24667460	-0.033	+	ENSG00000112304	False
199	chr6	24667461	-0.364	+	ENSG00000112304	False
200	chr6	24667462	-1.426	+	ENSG00000112304	False
201	chr6	24667463	1.419	+	ENSG00000112304	False
202	chr6	24667464	-0.328	+	ENSG00000112304	False
203	chr6	24667465	-0.824	+	ENSG00000112304	False
204	chr6	24667466	-0.245	+	ENSG00000112304	False
205	chr6	24667467	-0.303	+	ENSG00000112304	False
206	chr6	24667468	0.049	+	ENSG00000112304	False
207	chr6	24667469	-0.238	+	ENSG00000112304	False
208	chr6	24667470	1.504	+	ENSG00000112304	False
209	chr6	24667471	-0.913	+	ENSG00000112304	False
210	chr6	24667472	-0.052	+	ENSG00000112304	False
211	chr6	24667473	0.893	+	ENSG00000112304	False
212	chr6	24667474	0.834	+	ENSG00000112304	False
213	chr6	24667475	-0.985	+	ENSG00000112304	False
214	chr6	24667476	-0.713	+	ENSG00000112304	False
215	chr6	24667477	0.925	+	ENSG00000112304	False
216	chr6	24667478	-0.308	+	ENSG00000112304	False
217	chr6	24667479	-2.173	+	ENSG00000112304	False
218	chr6	24667480	-0.986	+	ENSG00000112304	False
219	chr6	24667481	-1.051	+	ENSG00000112304	False
220	chr6	24667482	0.003	+	ENSG00000112304	False
221	chr6	24667483	-2.918	+	ENSG00000112304	False
222	chr6	24667484	0.014	+	ENSG00000112304	False
223	chr6	24667485	-0.484	+	ENSG00000112304	False
224	chr6	24667486	-0.12	+	ENSG00000112304	False
225	chr6	24667487	1.147	+	ENSG00000112304	False
226	chr6	24667488	0.312	+	ENSG00000112304	False
227	chr6	24667489	0.341	+	ENSG00000112304	False
228	chr6	24667490	0.011	+	ENSG00000112304	False
229	chr6	24667491	2.146	+	ENSG00000112304	False
230	chr6	24667492	1.7	+	ENSG00000112304	False
231	chr6	24667493	3.716	+	ENSG00000112304	False
232	chr6	24667494	1.392	+	ENSG00000112304	False
233	chr6	24667495	0.056	+	ENSG00000112304	False
234	chr6	24667496	0.889	+	ENSG00000112304	False
235	chr6	24667497	-1.853	+	ENSG00000112304	False
236	chr6	24667498	-0.298	+	ENSG00000112304	False
