	Chr	Pos	PhyloP	Strand	EnsemblID	isSub
0	chr21	10862621	0.427	+	ENSG00000169861	False
1	chr21	10862622	-0.955	+	ENSG00000169861	False
2	chr21	10862623	0.176	+	ENSG00000169861	False
3	chr21	10862624	0.745	+	ENSG00000169861	False
4	chr21	10862625	1.03	+	ENSG00000169861	False
5	chr21	10862626	0.765	+	ENSG00000169861	False
6	chr21	10862627	0.245	+	ENSG00000169861	False
7	chr21	10862628	0.016	+	ENSG00000169861	False
8	chr21	10862629	0.314	+	ENSG00000169861	False
9	chr21	10862630	-0.163	+	ENSG00000169861	False
10	chr21	10862631	-1.599	+	ENSG00000169861	False
11	chr21	10862632	-0.672	+	ENSG00000169861	False
12	chr21	10862633	0.142	+	ENSG00000169861	False
13	chr21	10862634	2.719	+	ENSG00000169861	False
14	chr21	10862635	0.019	+	ENSG00000169861	False
15	chr21	10862636	0.539	+	ENSG00000169861	False
16	chr21	10862637	-0.523	+	ENSG00000169861	False
17	chr21	10862638	-0.036	+	ENSG00000169861	False
18	chr21	10862639	-0.744	+	ENSG00000169861	False
19	chr21	10862640	-0.185	+	ENSG00000169861	False
20	chr21	10862641	-0.192	+	ENSG00000169861	False
21	chr21	10862642	0.321	+	ENSG00000169861	False
22	chr21	10862643	1.751	+	ENSG00000169861	False
23	chr21	10862644	-0.964	+	ENSG00000169861	False
24	chr21	10862645	-1.088	+	ENSG00000169861	False
25	chr21	10862646	1.469	+	ENSG00000169861	False
26	chr21	10862647	0.618	+	ENSG00000169861	False
27	chr21	10862648	-0.205	+	ENSG00000169861	False
28	chr21	10862649	1.469	+	ENSG00000169861	False
29	chr21	10862650	-0.607	+	ENSG00000169861	False
30	chr21	10862651	-0.145	+	ENSG00000169861	False
31	chr21	10862652	-0.017	+	ENSG00000169861	False
32	chr21	10862653	-0.606	+	ENSG00000169861	False
33	chr21	10862654	-0.243	+	ENSG00000169861	False
34	chr21	10862655	0.362	+	ENSG00000169861	False
35	chr21	10862656	-0.349	+	ENSG00000169861	False
36	chr21	10862657	0.028	+	ENSG00000169861	False
37	chr21	10862658	1.085	+	ENSG00000169861	False
38	chr21	10862659	-0.225	+	ENSG00000169861	False
39	chr21	10862660	0.016	+	ENSG00000169861	False
40	chr21	10862661	-0.416	+	ENSG00000169861	False
41	chr21	10862662	-0.673	+	ENSG00000169861	False
42	chr21	10862663	-0.312	+	ENSG00000169861	False
43	chr21	10862664	0.123	+	ENSG00000169861	False
44	chr21	10862665	-0.291	+	ENSG00000169861	False
45	chr21	10862666	1.877	+	ENSG00000169861	False
46	chr21	10862667	1.051	+	ENSG00000169861	False
47	chr21	10862750	3.015	+	ENSG00000169861	False
48	chr21	10862751	1.53	+	ENSG00000169861	False
49	chr21	10862752	0.479	+	ENSG00000169861	False
50	chr21	10862753	0.192	+	ENSG00000169861	False
51	chr21	10862754	0.352	+	ENSG00000169861	False
52	chr21	10862755	-0.559	+	ENSG00000169861	False
53	chr21	10862756	-0.057	+	ENSG00000169861	False
54	chr21	10862757	-3.553	+	ENSG00000169861	False
55	chr21	10862758	0.203	+	ENSG00000169861	False
56	chr21	10862759	0.483	+	ENSG00000169861	False
57	chr21	10862760	0.388	+	ENSG00000169861	False
58	chr21	10862761	0.887	+	ENSG00000169861	False
59	chr21	10862762	1.922	+	ENSG00000169861	False
60	chr21	10862763	-0.375	+	ENSG00000169861	False
61	chr21	10862764	0.093	+	ENSG00000169861	False
62	chr21	10862765	0.902	+	ENSG00000169861	False
63	chr21	10862766	-3.759	+	ENSG00000169861	False
64	chr21	10862767	-0.302	+	ENSG00000169861	False
65	chr21	10862768	1.596	+	ENSG00000169861	False
66	chr21	10862769	0.298	+	ENSG00000169861	False
67	chr21	10862770	0.886	+	ENSG00000169861	False
68	chr21	10862771	4.052	+	ENSG00000169861	False
69	chr21	10862772	2.164	+	ENSG00000169861	False
70	chr21	10862773	-0.004	+	ENSG00000169861	False
71	chr21	10862774	-1.1	+	ENSG00000169861	False
72	chr21	10862775	-3.52	+	ENSG00000169861	False
73	chr21	10862776	-0.228	+	ENSG00000169861	False
74	chr21	10862777	3.362	+	ENSG00000169861	False
75	chr21	10862778	0.1	+	ENSG00000169861	False
76	chr21	10862779	1.376	+	ENSG00000169861	False
77	chr21	10862780	4.419	+	ENSG00000169861	False
78	chr21	10862781	0.451	+	ENSG00000169861	False
79	chr21	10862782	1.895	+	ENSG00000169861	False
80	chr21	10862783	0.406	+	ENSG00000169861	False
81	chr21	10862784	-1.277	+	ENSG00000169861	False
82	chr21	10862785	0.025	+	ENSG00000169861	False
83	chr21	10862786	1.207	+	ENSG00000169861	False
84	chr21	10862787	-1.807	+	ENSG00000169861	False
85	chr21	10862788	1.886	+	ENSG00000169861	False
86	chr21	10862789	-0.237	+	ENSG00000169861	False
87	chr21	10862790	-0.791	+	ENSG00000169861	False
88	chr21	10862791	0.825	+	ENSG00000169861	False
89	chr21	10862792	4.542	+	ENSG00000169861	False
90	chr21	10862793	-1.42	+	ENSG00000169861	False
91	chr21	10862794	1.088	+	ENSG00000169861	False
92	chr21	10862795	-0.039	+	ENSG00000169861	False
93	chr21	10862796	0.119	+	ENSG00000169861	False
94	chr21	10862797	2.517	+	ENSG00000169861	False
95	chr21	10862798	1.235	+	ENSG00000169861	False
96	chr21	10862799	0.327	+	ENSG00000169861	False
97	chr21	10862800	4.419	+	ENSG00000169861	False
98	chr21	10862801	4.419	+	ENSG00000169861	False
99	chr21	10862802	0.243	+	ENSG00000169861	False
100	chr21	10862803	5.48	+	ENSG00000169861	False
101	chr21	10862804	3.852	+	ENSG00000169861	False
102	chr21	10862805	0.316	+	ENSG00000169861	False
103	chr21	10862806	2.078	+	ENSG00000169861	False
104	chr21	10862807	0.869	+	ENSG00000169861	False
105	chr21	10862808	-1.42	+	ENSG00000169861	False
106	chr21	10862809	0.122	+	ENSG00000169861	False
107	chr21	10862810	1.339	+	ENSG00000169861	False
108	chr21	10862811	-2.681	+	ENSG00000169861	False
109	chr21	10862812	-1.112	+	ENSG00000169861	False
110	chr21	10862813	0.446	+	ENSG00000169861	False
111	chr21	10862814	-0.052	+	ENSG00000169861	False
112	chr21	10862815	1.14	+	ENSG00000169861	False
113	chr21	10862816	-0.289	+	ENSG00000169861	False
114	chr21	10862817	-1.241	+	ENSG00000169861	False
115	chr21	10862818	-0.999	+	ENSG00000169861	False
116	chr21	10862819	4.542	+	ENSG00000169861	False
117	chr21	10862820	0.149	+	ENSG00000169861	False
118	chr21	10862821	-0.232	+	ENSG00000169861	False
119	chr21	10862822	2.921	+	ENSG00000169861	False
120	chr21	10862823	-0.988	+	ENSG00000169861	False
121	chr21	10862824	4.542	+	ENSG00000169861	False
122	chr21	10862825	5.48	+	ENSG00000169861	False
123	chr21	10862826	0.378	+	ENSG00000169861	False
124	chr21	10862827	3.62	+	ENSG00000169861	False
125	chr21	10862828	1.002	+	ENSG00000169861	False
126	chr21	10862829	-0.502	+	ENSG00000169861	False
127	chr21	10862830	0.178	+	ENSG00000169861	False
128	chr21	10862831	-0.079	+	ENSG00000169861	False
129	chr21	10862832	-0.811	+	ENSG00000169861	False
130	chr21	10862833	4.542	+	ENSG00000169861	False
131	chr21	10862834	4.419	+	ENSG00000169861	False
132	chr21	10862835	-0.199	+	ENSG00000169861	False
133	chr21	10862836	5.48	+	ENSG00000169861	False
134	chr21	10862837	3.859	+	ENSG00000169861	False
135	chr21	10862838	-0.483	+	ENSG00000169861	False
136	chr21	10862839	4.542	+	ENSG00000169861	False
137	chr21	10862840	0.081	+	ENSG00000169861	False
138	chr21	10862841	0.695	+	ENSG00000169861	False
139	chr21	10862842	1.088	+	ENSG00000169861	False
140	chr21	10862843	1.085	+	ENSG00000169861	False
141	chr21	10862844	-0.011	+	ENSG00000169861	False
142	chr21	10862845	0.112	+	ENSG00000169861	False
143	chr21	10862846	4.542	+	ENSG00000169861	False
144	chr21	10862847	0.075	+	ENSG00000169861	False
145	chr21	10862848	2.666	+	ENSG00000169861	False
146	chr21	10862849	-0.674	+	ENSG00000169861	False
147	chr21	10862850	-0.128	+	ENSG00000169861	False
148	chr21	10862851	0.575	+	ENSG00000169861	False
149	chr21	10862852	0.26	+	ENSG00000169861	False
150	chr21	10862853	2.041	+	ENSG00000169861	False
151	chr21	10862854	1.449	+	ENSG00000169861	False
152	chr21	10862855	2.582	+	ENSG00000169861	False
153	chr21	10862856	0.0	+	ENSG00000169861	False
154	chr21	10862857	-0.262	+	ENSG00000169861	False
155	chr21	10862858	-1.795	+	ENSG00000169861	False
156	chr21	10862859	-0.781	+	ENSG00000169861	False
157	chr21	10862860	5.205	+	ENSG00000169861	False
158	chr21	10862861	1.362	+	ENSG00000169861	False
159	chr21	10862862	-0.218	+	ENSG00000169861	False
160	chr21	10862863	-4.737	+	ENSG00000169861	False
161	chr21	10862864	-1.734	+	ENSG00000169861	False
162	chr21	10862865	0.879	+	ENSG00000169861	False
163	chr21	10862866	4.542	+	ENSG00000169861	False
164	chr21	10862867	5.48	+	ENSG00000169861	False
165	chr21	10862868	5.48	+	ENSG00000169861	False
166	chr21	10862869	-0.003	+	ENSG00000169861	False
167	chr21	10862870	3.033	+	ENSG00000169861	False
168	chr21	10862871	-1.615	+	ENSG00000169861	False
169	chr21	10862872	1.271	+	ENSG00000169861	False
170	chr21	10862873	2.838	+	ENSG00000169861	False
171	chr21	10862874	0.16	+	ENSG00000169861	False
172	chr21	10862875	4.419	+	ENSG00000169861	False
173	chr21	10862876	5.205	+	ENSG00000169861	False
174	chr21	10862877	2.837	+	ENSG00000169861	False
175	chr21	10862878	0.186	+	ENSG00000169861	False
176	chr21	10862879	0.409	+	ENSG00000169861	False
177	chr21	10862880	-0.596	+	ENSG00000169861	False
178	chr21	10862881	1.94	+	ENSG00000169861	False
179	chr21	10862882	2.859	+	ENSG00000169861	False
180	chr21	10862883	-2.632	+	ENSG00000169861	False
181	chr21	10862884	3.862	+	ENSG00000169861	False
182	chr21	10862885	2.807	+	ENSG00000169861	False
183	chr21	10862886	-0.059	+	ENSG00000169861	False
184	chr21	10862887	0.749	+	ENSG00000169861	False
185	chr21	10862888	2.659	+	ENSG00000169861	False
186	chr21	10862889	1.52	+	ENSG00000169861	False
187	chr21	10862890	5.48	+	ENSG00000169861	False
188	chr21	10862891	0.639	+	ENSG00000169861	False
189	chr21	10862892	-1.454	+	ENSG00000169861	False
190	chr21	10862893	2.929	+	ENSG00000169861	False
191	chr21	10862894	4.542	+	ENSG00000169861	False
192	chr21	10862895	0.955	+	ENSG00000169861	False
193	chr21	10862896	1.904	+	ENSG00000169861	False
194	chr21	10862897	5.205	+	ENSG00000169861	False
195	chr21	10862898	-0.093	+	ENSG00000169861	False
196	chr21	10862899	4.542	+	ENSG00000169861	False
197	chr21	10862900	2.801	+	ENSG00000169861	False
198	chr21	10862901	3.867	+	ENSG00000169861	False
199	chr21	10862902	0.701	+	ENSG00000169861	False
200	chr21	10862903	4.542	+	ENSG00000169861	False
201	chr21	10862904	-1.892	+	ENSG00000169861	False
202	chr21	10862905	2.708	+	ENSG00000169861	False
203	chr21	10862906	-0.198	+	ENSG00000169861	False
204	chr21	10862907	-1.589	+	ENSG00000169861	False
205	chr21	10862908	-1.377	+	ENSG00000169861	False
206	chr21	10862909	-1.709	+	ENSG00000169861	False
207	chr21	10862910	-1.58	+	ENSG00000169861	False
208	chr21	10862911	2.58	+	ENSG00000169861	False
209	chr21	10862912	2.049	+	ENSG00000169861	False
210	chr21	10862913	-2.235	+	ENSG00000169861	False
211	chr21	10862914	-2.8	+	ENSG00000169861	False
212	chr21	10862915	-0.685	+	ENSG00000169861	False
213	chr21	10862916	0.074	+	ENSG00000169861	False
214	chr21	10862917	-1.221	+	ENSG00000169861	False
215	chr21	10862918	0.076	+	ENSG00000169861	False
216	chr21	10862919	-1.424	+	ENSG00000169861	False
217	chr21	10862920	-0.981	+	ENSG00000169861	False
218	chr21	10862921	-2.951	+	ENSG00000169861	False
219	chr21	10862922	-0.15	+	ENSG00000169861	False
220	chr21	10862923	0.246	+	ENSG00000169861	False
221	chr21	10862924	0.03	+	ENSG00000169861	False
222	chr21	10862925	-0.246	+	ENSG00000169861	False
223	chr21	10862926	0.089	+	ENSG00000169861	False
224	chr21	10862927	-0.058	+	ENSG00000169861	False
225	chr21	10862928	0.631	+	ENSG00000169861	False
226	chr21	10862929	-1.489	+	ENSG00000169861	False
227	chr21	10862930	-0.597	+	ENSG00000169861	False
228	chr21	10862931	-0.433	+	ENSG00000169861	False
229	chr21	10862932	0.848	+	ENSG00000169861	False
230	chr21	10862933	0.481	+	ENSG00000169861	False
231	chr21	10862934	-0.938	+	ENSG00000169861	False
232	chr21	10862935	-0.925	+	ENSG00000169861	False
233	chr21	10862936	-0.001	+	ENSG00000169861	False
234	chr21	10862937	0.18	+	ENSG00000169861	False
235	chr21	10862938	2.929	+	ENSG00000169861	False
236	chr21	10862939	3.473	+	ENSG00000169861	False
