	Chr	Pos	PhyloP	Strand	EnsemblID
0	chr7	1022834	-0.144	+	ENSG00000073067
1	chr7	1022835	-1.416	+	ENSG00000073067
2	chr7	1022836	-1.656	+	ENSG00000073067
3	chr7	1022837	0.064	+	ENSG00000073067
4	chr7	1022838	-0.588	+	ENSG00000073067
5	chr7	1022839	-0.692	+	ENSG00000073067
6	chr7	1022840	-1.266	+	ENSG00000073067
7	chr7	1022841	0.009	+	ENSG00000073067
8	chr7	1022842	0.025	+	ENSG00000073067
9	chr7	1022843	-0.101	+	ENSG00000073067
10	chr7	1022844	-0.233	+	ENSG00000073067
11	chr7	1022845	-1.175	+	ENSG00000073067
12	chr7	1022846	-0.498	+	ENSG00000073067
13	chr7	1022847	0.196	+	ENSG00000073067
14	chr7	1022848	-0.012	+	ENSG00000073067
15	chr7	1022849	0.629	+	ENSG00000073067
16	chr7	1022850	0.66	+	ENSG00000073067
17	chr7	1022851	-0.489	+	ENSG00000073067
18	chr7	1022852	0.039	+	ENSG00000073067
19	chr7	1022853	1.396	+	ENSG00000073067
20	chr7	1022854	-0.11	+	ENSG00000073067
21	chr7	1022855	0.276	+	ENSG00000073067
22	chr7	1022856	0.252	+	ENSG00000073067
23	chr7	1022857	1.82	+	ENSG00000073067
24	chr7	1022858	0.925	+	ENSG00000073067
25	chr7	1022859	-0.64	+	ENSG00000073067
26	chr7	1022860	1.262	+	ENSG00000073067
27	chr7	1022861	-0.154	+	ENSG00000073067
28	chr7	1022862	-0.745	+	ENSG00000073067
29	chr7	1022863	2.131	+	ENSG00000073067
30	chr7	1022864	1.22	+	ENSG00000073067
31	chr7	1022865	1.142	+	ENSG00000073067
32	chr7	1022866	0.276	+	ENSG00000073067
33	chr7	1022867	0.573	+	ENSG00000073067
34	chr7	1022868	-0.251	+	ENSG00000073067
35	chr7	1022869	2.893	+	ENSG00000073067
36	chr7	1022870	-0.3	+	ENSG00000073067
37	chr7	1022871	0.17	+	ENSG00000073067
38	chr7	1022872	1.255	+	ENSG00000073067
39	chr7	1022873	1.506	+	ENSG00000073067
40	chr7	1022874	0.307	+	ENSG00000073067
41	chr7	1022875	0.013	+	ENSG00000073067
42	chr7	1022876	0.762	+	ENSG00000073067
43	chr7	1022877	0.45	+	ENSG00000073067
44	chr7	1022878	1.173	+	ENSG00000073067
45	chr7	1022879	-0.306	+	ENSG00000073067
46	chr7	1022880	0.987	+	ENSG00000073067
47	chr7	1022881	1.581	+	ENSG00000073067
48	chr7	1022882	5.422	+	ENSG00000073067
49	chr7	1022883	3.289	+	ENSG00000073067
50	chr7	1022884	0.554	+	ENSG00000073067
51	chr7	1022885	0.062	+	ENSG00000073067
52	chr7	1022886	1.524	+	ENSG00000073067
53	chr7	1022887	0.292	+	ENSG00000073067
54	chr7	1022888	0.296	+	ENSG00000073067
55	chr7	1022889	0.344	+	ENSG00000073067
56	chr7	1022890	1.459	+	ENSG00000073067
57	chr7	1022891	1.474	+	ENSG00000073067
58	chr7	1022892	0.128	+	ENSG00000073067
59	chr7	1022893	0.066	+	ENSG00000073067
60	chr7	1022894	0.437	+	ENSG00000073067
61	chr7	1022895	0.618	+	ENSG00000073067
62	chr7	1022896	1.159	+	ENSG00000073067
63	chr7	1022897	1.037	+	ENSG00000073067
64	chr7	1022898	-0.868	+	ENSG00000073067
65	chr7	1022899	1.653	+	ENSG00000073067
66	chr7	1022900	0.074	+	ENSG00000073067
67	chr7	1022901	-0.105	+	ENSG00000073067
68	chr7	1022902	0.281	+	ENSG00000073067
69	chr7	1022903	-5.571	+	ENSG00000073067
70	chr7	1022904	-2.147	+	ENSG00000073067
71	chr7	1022905	1.042	+	ENSG00000073067
72	chr7	1022906	-0.204	+	ENSG00000073067
73	chr7	1022907	-2.455	+	ENSG00000073067
74	chr7	1022908	-1.289	+	ENSG00000073067
75	chr7	1022909	-1.83	+	ENSG00000073067
76	chr7	1022910	-2.224	+	ENSG00000073067
77	chr7	1022911	0.218	+	ENSG00000073067
78	chr7	1022912	0.194	+	ENSG00000073067
79	chr7	1022913	-0.185	+	ENSG00000073067
80	chr7	1022914	-2.312	+	ENSG00000073067
81	chr7	1022915	-2.81	+	ENSG00000073067
82	chr7	1022916	-1.446	+	ENSG00000073067
83	chr7	1022917	-2.021	+	ENSG00000073067
84	chr7	1022918	-0.134	+	ENSG00000073067
85	chr7	1022919	-0.122	+	ENSG00000073067
86	chr7	1022920	-0.186	+	ENSG00000073067
87	chr7	1022921	-0.281	+	ENSG00000073067
88	chr7	1022922	-1.217	+	ENSG00000073067
89	chr7	1022923	0.265	+	ENSG00000073067
90	chr7	1022924	-0.23	+	ENSG00000073067
91	chr7	1022925	-0.113	+	ENSG00000073067
92	chr7	1022926	-0.154	+	ENSG00000073067
93	chr7	1022927	-0.928	+	ENSG00000073067
94	chr7	1022928	0.607	+	ENSG00000073067
95	chr7	1022929	1.273	+	ENSG00000073067
96	chr7	1022930	0.006	+	ENSG00000073067
97	chr7	1022931	-0.42	+	ENSG00000073067
98	chr7	1022932	0.022	+	ENSG00000073067
99	chr7	1022933	-2.454	+	ENSG00000073067
100	chr7	1022934	-0.323	+	ENSG00000073067
101	chr7	1022935	-0.229	+	ENSG00000073067
102	chr7	1022936	-0.145	+	ENSG00000073067
103	chr7	1022937	2.07	+	ENSG00000073067
104	chr7	1022938	1.323	+	ENSG00000073067
105	chr7	1022939	0.874	+	ENSG00000073067
106	chr7	1022940	3.02	+	ENSG00000073067
107	chr7	1022941	5.564	+	ENSG00000073067
108	chr7	1022942	-0.716	+	ENSG00000073067
109	chr7	1022943	4.272	+	ENSG00000073067
110	chr7	1022944	5.883	+	ENSG00000073067
111	chr7	1022945	-4.332	+	ENSG00000073067
112	chr7	1022946	5.601	+	ENSG00000073067
113	chr7	1022947	7.282	+	ENSG00000073067
114	chr7	1022948	0.731	+	ENSG00000073067
115	chr7	1022949	5.799	+	ENSG00000073067
116	chr7	1022950	4.226	+	ENSG00000073067
117	chr7	1022951	-1.474	+	ENSG00000073067
118	chr7	1022952	-0.565	+	ENSG00000073067
119	chr7	1022953	0.067	+	ENSG00000073067
120	chr7	1022954	-1.164	+	ENSG00000073067
121	chr7	1022955	1.346	+	ENSG00000073067
122	chr7	1022956	4.226	+	ENSG00000073067
123	chr7	1022957	-2.355	+	ENSG00000073067
124	chr7	1022958	1.796	+	ENSG00000073067
125	chr7	1022959	4.204	+	ENSG00000073067
126	chr7	1022960	-0.081	+	ENSG00000073067
127	chr7	1022961	4.209	+	ENSG00000073067
128	chr7	1022962	5.858	+	ENSG00000073067
129	chr7	1022963	-3.833	+	ENSG00000073067
130	chr7	1022964	-0.239	+	ENSG00000073067
131	chr7	1022965	6.023	+	ENSG00000073067
132	chr7	1022966	0.143	+	ENSG00000073067
133	chr7	1022967	-0.642	+	ENSG00000073067
134	chr7	1022968	4.38	+	ENSG00000073067
135	chr7	1022969	-2.58	+	ENSG00000073067
136	chr7	1022970	5.627	+	ENSG00000073067
137	chr7	1022971	5.652	+	ENSG00000073067
138	chr7	1022972	0.639	+	ENSG00000073067
139	chr7	1022973	6.973	+	ENSG00000073067
140	chr7	1022974	6.936	+	ENSG00000073067
141	chr7	1022975	1.857	+	ENSG00000073067
142	chr7	1022976	1.823	+	ENSG00000073067
143	chr7	1022977	5.993	+	ENSG00000073067
144	chr7	1022978	0.754	+	ENSG00000073067
145	chr7	1022979	1.139	+	ENSG00000073067
146	chr7	1022980	0.455	+	ENSG00000073067
147	chr7	1022981	-2.019	+	ENSG00000073067
148	chr7	1022982	-0.56	+	ENSG00000073067
149	chr7	1022983	1.295	+	ENSG00000073067
150	chr7	1022984	2.29	+	ENSG00000073067
151	chr7	1022985	0.891	+	ENSG00000073067
152	chr7	1022986	4.241	+	ENSG00000073067
153	chr7	1022987	4.227	+	ENSG00000073067
154	chr7	1022988	0.864	+	ENSG00000073067
155	chr7	1022989	2.293	+	ENSG00000073067
156	chr7	1022990	-0.245	+	ENSG00000073067
157	chr7	1022991	-0.29	+	ENSG00000073067
158	chr7	1022992	0.713	+	ENSG00000073067
159	chr7	1022993	-0.456	+	ENSG00000073067
160	chr7	1022994	-0.095	+	ENSG00000073067
161	chr7	1022995	0.096	+	ENSG00000073067
162	chr7	1022996	-2.667	+	ENSG00000073067
163	chr7	1022997	1.001	+	ENSG00000073067
164	chr7	1022998	0.268	+	ENSG00000073067
165	chr7	1022999	-0.501	+	ENSG00000073067
166	chr7	1023000	1.658	+	ENSG00000073067
167	chr7	1023001	1.142	+	ENSG00000073067
168	chr7	1023002	0.411	+	ENSG00000073067
169	chr7	1023003	1.325	+	ENSG00000073067
170	chr7	1023004	1.55	+	ENSG00000073067
171	chr7	1023005	0.851	+	ENSG00000073067
172	chr7	1023006	0.333	+	ENSG00000073067
173	chr7	1023007	0.08	+	ENSG00000073067
